year,country,weight_kg,value_usd,price_usd_per_kg,volume_mt
2023,Ethiopia,234881171.9,1218808316.971,5.189042217014755,234881.17190000002
2023,Guatemala,182081916.0,946277667.0,5.196988738848728,182081.916
2023,Honduras,340593258.95,1477445637.66,4.3378593053037875,340593.25895
2023,Indonesia,552484707.898,1831587760.448,3.3151827268061664,552484.707898
2023,Kenya,48689860.4,246413867.295,5.060886707635744,48689.8604
2023,Laos,71774675.0,178959073.58,2.493345648447729,71774.675
2023,Mexico,146302952.0,732687456.0,5.008015532044767,146302.952
2023,Nicaragua,139511407.9,607053746.62,4.351283925506138,139511.40790000002
2023,Papua New Guinea,58992432.04,227272209.775,3.852565522657167,58992.43204
2023,Peru,204546847.5,827514033.98,4.045596615611492,204546.8475
2023,Tanzania,167596830.0,453566311.68,2.7062940968513547,167596.83
2023,Togo,13019084.0,16354054.388,1.2561601406058982,13019.084
2023,Uganda,368721234.0,950623466.17,2.578163063345573,368721.234
2023,Vietnam,2070359517.6529999,5955909334.59,2.8767512520442517,2070359.5176529998
