year,reporter_code,reporter,partner,partner_code,commodity_code,commodity,flow,qty_unit,quantity,net_weight_kg,fob_value_usd,primary_value_usd
2010,188,,,380,0901,,,,3715114.0,3715114.0,13260900.0,13260900.0
2010,188,,,724,0901,,,,466126.0,466126.0,1619009.0,1619009.0
2010,188,,,826,0901,,,,1523027.0,1523027.0,5513730.0,5513730.0
2010,188,,,276,0901,,,,4451602.0,4451602.0,15683340.0,15683340.0
2010,188,,,124,0901,,,,2071520.0,2071520.0,7520853.0,7520853.0
2010,188,,,152,0901,,,,73764.0,73764.0,300745.0,300745.0
2010,188,,,484,0901,,,,175073.0,175073.0,610811.0,610811.0
2010,188,,,340,0901,,,,5202.0,5202.0,33392.0,33392.0
2010,188,,,222,0901,,,,875.0,875.0,11942.0,11942.0
2010,188,,,320,0901,,,,645.0,645.0,7171.0,7171.0
2010,188,,,842,0901,,,,41325515.0,41325515.0,147199020.0,147199020.0
2010,188,,,591,0901,,,,673.0,673.0,5631.0,5631.0
2010,188,,,558,0901,,,,13671.0,13671.0,64069.0,64069.0
2010,188,,,0,0901,,,,74893002.0,74893002.0,265486185.0,265486185.0
2010,231,,,262,0901,,,,1115.0,1115.0,438.309,438.309
2010,231,,,682,0901,,,,18000.0,18000.0,57743.614,57743.614
2010,231,,,710,0901,,,,18000.0,18000.0,80400.247,80400.247
2010,231,,,757,0901,,,,72000.0,72000.0,164369.56,164369.56
2010,231,,,887,0901,,,,110700.0,110700.0,12532.458,12532.458
2010,231,,,36,0901,,,,82200.0,82200.0,389043.118,389043.118
2010,231,,,490,0901,,,,18000.0,18000.0,53030.272,53030.272
2010,231,,,380,0901,,,,90000.0,90000.0,204632.985,204632.985
2010,231,,,276,0901,,,,115200.0,115200.0,311608.483,311608.483
2010,231,,,736,0901,,,,7066260.0,7066260.0,14912450.835,14912450.835
2010,231,,,262,0901,,,,42807.0,42807.0,78714.753,78714.753
2010,231,,,699,0901,,,,80.0,80.0,633.717,633.717
2010,231,,,710,0901,,,,700.0,700.0,6503.623,6503.623
2010,231,,,752,0901,,,,1360.0,1360.0,8597.008,8597.008
2010,231,,,784,0901,,,,1069.0,1069.0,7090.676,7090.676
2010,231,,,834,0901,,,,600.0,600.0,3343.044,3343.044
2010,231,,,36,0901,,,,200.0,200.0,2158.138,2158.138
2010,231,,,48,0901,,,,50.0,50.0,332.679,332.679
2010,231,,,56,0901,,,,200.0,200.0,1066.487,1066.487
2010,231,,,124,0901,,,,19.0,19.0,75.265,75.265
2010,231,,,262,0901,,,,463.0,463.0,3500.935,3500.935
2010,231,,,268,0901,,,,1000.0,1000.0,4409.29,4409.29
2010,231,,,276,0901,,,,2746.0,2746.0,17811.366,17811.366
2010,231,,,376,0901,,,,13.0,13.0,73.168,73.168
2010,231,,,392,0901,,,,7515.06,7515.06,33661.924,33661.924
2010,231,,,410,0901,,,,180.0,180.0,707.124,707.124
2010,231,,,736,0901,,,,100.0,100.0,339.81,339.81
2010,231,,,826,0901,,,,1803.0,1803.0,11984.054,11984.054
2010,231,,,156,0901,,,,8218.0,8218.0,26731.329,26731.329
2010,231,,,380,0901,,,,1740.0,1740.0,15832.566,15832.566
2010,231,,,246,0901,,,,697.0,697.0,6070.266,6070.266
2010,231,,,566,0901,,,,100.0,100.0,815.087,815.087
2010,231,,,842,0901,,,,1310.0,1310.0,11450.976,11450.976
2010,231,,,682,0901,,,,20019840.0,20019840.0,69852977.455,69852977.455
