country_code,country,year,agriculture_pct_gdp,arable_land_pct,gdp_per_capita_usd,population,rural_population_pct
COL,Colombia,2001,8.32097267667621,2.26372329878324,2472.99084035833,39709262.0,25.2061628322324
COL,Colombia,2002,8.51000517684848,1.88473636773321,2428.92969771584,40324680.0,24.807555644457
COL,Colombia,2003,8.32877416512145,1.88934745380802,2311.94218760291,40937429.0,24.4658171429846
COL,Colombia,2004,7.91098316231374,1.79660928346102,2818.57195413044,41543171.0,24.1919430520504
COL,Colombia,2005,7.52726670177951,1.65178639026589,3456.06610874512,42128977.0,23.995061098622
COL,Colombia,2006,7.18676953071771,1.42341865705273,3789.85361217027,42691084.0,23.8380808081836
COL,Colombia,2007,6.93455867595786,1.57037404236142,4769.926147194,43235374.0,23.6855961224151
COL,Colombia,2008,6.6873848504052,1.52489229382605,5541.83629665898,43758808.0,23.5403238189953
COL,Colombia,2009,6.68974069628809,1.45745831455611,5250.97292433518,44271541.0,23.4035854163208
COL,Colombia,2010,6.32485387641069,1.38715187021181,6398.2958447102,44777319.0,23.2767024327881
COL,Colombia,2011,6.09169610822215,1.44869130238846,7400.9940695669,45259614.0,23.160996386794
COL,Colombia,2012,5.58268705354932,1.43516719242902,8108.59838244229,45715810.0,23.057788796735
COL,Colombia,2013,5.39271495449472,1.3252248760703,8279.10255642981,46151584.0,22.9684011810078
COL,Colombia,2014,5.44695721474421,1.39257232987832,8187.20824890084,46565429.0,22.8941550580091
COL,Colombia,2015,5.98042480849816,1.40620009013069,6248.51490534512,46969940.0,22.8363719461354
COL,Colombia,2016,6.60641226605787,1.51567913474538,5959.84250367574,47437512.0,22.7963733637834
COL,Colombia,2017,6.38966355268118,1.60510860748085,6479.53231292429,48131078.0,22.7754808293497
COL,Colombia,2018,6.22570968960033,2.01521676430825,6816.96818309544,49024465.0,22.7195183401916
COL,Colombia,2019,6.41072082168314,2.0873510590356,6472.54544924705,49907985.0,22.5404471481623
COL,Colombia,2020,7.50848046663348,2.11305425867508,5339.68711357943,50629997.0,22.3617466462955
COL,Colombia,2021,7.77187301385002,2.1601922487607,6222.62164397614,51188173.0,22.1660429673872
COL,Colombia,2022,8.83154473689041,2.21063542136097,6680.44506854481,51737944.0,21.9535366862665
